44	μεγίστῳ	μεγίστῳ	μεγίστῳ
44	σωφρόνως	σωφρόνως	σωφρόνως
44	ἐστεμμένον	ἐστεμμένον	ἐστεμμένον
44	,	,	,
45	ἀργῆτι	ἀργῆτι	ἀργῆτι
45	μαλλῷ	μαλλῷ	μαλλῷ
45	·	·	·
45	τῇδε	τῇδε	τῇδε
45	γὰρ	γὰρ	γὰρ
45	τρανῶς	τρανῶς	τρανῶς
45	ἐρῶ	ἐρῶ	ἐρῶ
45	.	.	.
46	πρόσθεν	πρόσθεν	πρόσθεν
46	δὲ	δὲ	δὲ
46	τἀνδρὸς	τἀνδρὸς	τἀνδρὸς
46	τοῦδε	τοῦδε	τοῦδε
46	θαυμαστὸς	θαυμαστὸς	θαυμαστὸς
46	λόχος	λόχος	λόχος
47	εὕδει	εὕδει	εὕδει
47	γυναικῶν	γυναικῶν	γυναικῶν
47	ἐν	ἐν	ἐν
47	θρόνοισιν	θρόνοισιν	θρόνοισιν
47	ἥμενος	ἥμενος	ἥμενος
47	.	.	.
48	οὔτοι	οὔτοι	οὔτοι
48	γυναῖκας	γυναῖκας	γυναῖκας
48	,	,	,
48	ἀλλὰ	ἀλλὰ	ἀλλὰ
48	Γοργόνας	Γοργόνας	Γοργόνας
48	λέγω	λέγω	λέγω
48	,	,	,
49	οὐδʼ	οὐ	οὐ
49		δ'	δ'
49	αὖτε	αὖτε	αὖτε
49	Γοργείοισιν	Γοργείοισιν	Γοργείοισιν
49	εἰκάσω	εἰκάσω	εἰκάσω
49	τύποις	τύποις	τύποις
49	.	.	.
50	εἶδόν	εἶδόν	εἶδόν
50	ποτʼ	ποτ'	ποτ'
50	ἤδη	ἤδη	ἤδη
50	Φινέως	Φινέως	Φινέως
50	γεγραμμένας	γεγραμμένας	γεγραμμένας
51	δεῖπνον	δεῖπνον	δεῖπνον
51	φερούσας	φερούσας	φερούσας
51	·	·	·
51	ἄπτεροί	ἄπτεροί	ἄπτεροί
51	γε	γε	γε
51	μὴν	μὴν	μὴν
51	ἰδεῖν	ἰδεῖν	ἰδεῖν
52	αὗται	αὗται	αὗται
52	,	,	,
52	μέλαιναι	μέλαιναι	μέλαιναι
52	δʼ	δ'	δ'
52	ἐς	ἐς	ἐς
52	τὸ	τὸ	τὸ
52	πᾶν	πᾶν	πᾶν
52	βδελύκτροποι	βδελύκτροποι	βδελύκτροποι
52	·	·	·
53	ῥέγκουσι	ῥέγκουσι	ῥέγκουσι
53	δʼ	δ'	δ'
53	οὐ	οὐ	οὐ
53	πλατοῖσι	πλατοῖσι	πλατοῖσι
53	φυσιάμασιν	φυσιάμασιν	φυσιάμασιν
53	·	·	·
54	ἐκ	ἐκ	ἐκ
54	δʼ	δ'	δ'
54	ὀμμάτων	ὀμμάτων	ὀμμάτων
54	λείβουσι	λείβουσι	λείβουσι
54	δυσφιλῆ	δυσφιλῆ	δυσφιλῆ
54	λίβα	λίβα	λίβα
54	·	·	·
55	καὶ	καὶ	καὶ
55	κόσμος	κόσμος	κόσμος
55	οὔτε	οὔ	οὔ
55		τε	τε
55	πρὸς	πρὸς	πρὸς
55	θεῶν	θεῶν	θεῶν
55	ἀγάλματα	ἀγάλματα	ἀγάλματα
56	φέρειν	φέρειν	φέρειν
56	δίκαιος	δίκαιος	δίκαιος
56	οὔτʼ	οὔ	οὔ
56		τ'	τ'
56	ἐς	ἐς	ἐς
56	ἀνθρώπων	ἀνθρώπων	ἀνθρώπων
56	στέγας	στέγας	στέγας
56	.	.	.
57	τὸ	τὸ	τὸ
57	φῦλον	φῦλον	φῦλον
57	οὐκ	οὐκ	οὐκ
57	ὄπωπα	ὄπωπα	ὄπωπα
57	τῆσδʼ	τῆσδ'	τῆσδ'
57	ὁμιλίας	ὁμιλίας	ὁμιλίας
58		οὐ	οὐ
58	οὐδʼ	δ'	δ'
58	ἥτις	ἥτις	ἥτις
58	αἶα	αἶα	αἶα
58	τοῦτʼ	τοῦτ'	τοῦτ'
58	ἐπεύχεται	ἐπεύχεται	ἐπεύχεται
58	γένος	γένος	γένος
59	τρέφουσʼ	τρέφουσ'	τρέφουσ'
59	ἀνατεὶ	ἀνατεὶ	ἀνατεὶ
59	μὴ	μὴ	μὴ
59	μεταστένειν	μεταστένειν	μεταστένειν
59	πόνον	πόνον	πόνον
59	.	.	.
60	τἀντεῦθεν	τἀντεῦθεν	τἀντεῦθεν
60	ἤδη	ἤδη	ἤδη
60	τῶνδε	τῶνδε	τῶνδε
60	δεσπότῃ	δεσπότῃ	δεσπότῃ
60	δόμων	δόμων	δόμων
61	αὐτῷ	αὐτῷ	αὐτῷ
61	μελέσθω	μελέσθω	μελέσθω
61	Λοξίᾳ	Λοξίᾳ	Λοξίᾳ
61	μεγασθενεῖ	μεγασθενεῖ	μεγασθενεῖ
61	.	.	.
62	ἰατρόμαντις	ἰατρόμαντις	ἰατρόμαντις
62	δʼ	δ'	δ'
62	ἐστὶ	ἐστὶ	ἐστὶ
62	καὶ	καὶ	καὶ
62	τερασκόπος	τερασκόπος	τερασκόπος
63	καὶ	καὶ	καὶ
63	τοῖσιν	τοῖσιν	τοῖσιν
63	ἄλλοις	ἄλλοις	ἄλλοις
63	δωμάτων	δωμάτων	δωμάτων
63	καθάρσιος	καθάρσιος	καθάρσιος
63	.	.	.
64	οὔτοι	οὔτοι	οὔτοι
64	προδώσω	προδώσω	προδώσω
64	·	·	·
64	διὰ	διὰ	διὰ
64	τέλους	τέλους	τέλους
64	δέ	δέ	δέ
64	σοι	σοι	σοι
64	φύλαξ	φύλαξ	φύλαξ
65	ἐγγὺς	ἐγγὺς	ἐγγὺς
65	παρεστὼς	παρεστὼς	παρεστὼς
65	καὶ	καὶ	καὶ
65	πρόσω	πρόσω	πρόσω
65	δʼ	δ'	δ'
65	ἀποστατῶν	ἀποστατῶν	ἀποστατῶν
66	ἐχθροῖσι	ἐχθροῖσι	ἐχθροῖσι
66	τοῖς	τοῖς	τοῖς
66	σοῖς	σοῖς	σοῖς
66	οὐ	οὐ	οὐ
66	γενήσομαι	γενήσομαι	γενήσομαι
66	πέπων	πέπων	πέπων
66	.	.	.
67	καὶ	καὶ	καὶ
67	νῦν	νῦν	νῦν
67	ἁλούσας	ἁλούσας	ἁλούσας
67	τάσδε	τάσδε	τάσδε
67	τὰς	τὰς	τὰς
67	μάργους	μάργους	μάργους
67	ὁρᾷς	ὁρᾷς	ὁρᾷς
67	·	·	·
